"","player_id","full","position","team","opp","team_game_number","game_id","stage","throws","throw_accuracy","draws","draw_accuracy","takeouts","takeout_accuracy","clockwise_throws","clockwise_accuracy","counter_clockwise_throws","counter_clockwise_accuracy"
"67",841718,"NEDREGOTTEN Magnus","M","NOR","ITA",4,"746372","Round-Robin",24,63,20,64,4,56,16,67,8,53
"68",706818,"SKASLIEN Kristin","F","NOR","ITA",4,"746372","Round-Robin",15,60,14,57,1,100,6,54,9,64
"69",2272511,"FAN Suyuan","F","CHN","CAN",4,"746376","Round-Robin",15,73,10,93,5,35,6,67,9,78
"70",1245715,"LING Zhi","M","CHN","CAN",4,"746376","Round-Robin",23,84,17,81,6,92,11,84,12,83
"71",842605,"HOMAN Rachel","F","CAN","CHN",4,"746376","Round-Robin",15,80,12,79,3,83,7,89,8,72
"72",338028,"MORRIS John","M","CAN","CHN",4,"746376","Round-Robin",24,88,18,88,6,88,9,89,15,87
"73",1149957,"DODDS Jennifer","F","GBR","AUS",4,"746374","Round-Robin",17,72,16,73,1,50,9,72,8,72
"74",1366641,"MOUAT Bruce","M","GBR","AUS",4,"746374","Round-Robin",27,89,18,89,9,89,13,85,14,93
"75",1929264,"GILL Tahli","F","AUS","GBR",5,"746374","Round-Robin",18,65,14,73,4,38,9,64,9,67
"76",1323453,"HEWITT Dean","M","AUS","GBR",5,"746374","Round-Robin",27,78,21,81,6,67,16,80,11,75
"77",1245672,"DE VAL Almida","F","SWE","USA",5,"746358","Round-Robin",18,49,16,48,2,50,9,53,9,44
"78",721971,"ERIKSSON Oskar","M","SWE","USA",5,"746358","Round-Robin",27,78,22,84,5,50,17,84,10,68
"79",1149977,"PERSINGER Vicky","F","USA","SWE",4,"746358","Round-Robin",16,81,14,79,2,100,7,75,9,86
"80",721966,"PLYS Chris","M","USA","SWE",4,"746358","Round-Robin",27,76,20,76,7,75,13,73,14,79
"81",1221476,"PAUL Tomas","M","CZE","ITA",4,"746381","Round-Robin",18,75,13,75,5,75,8,84,10,68
"82",1967586,"PAULOVA Zuzana","F","CZE","ITA",4,"746381","Round-Robin",11,64,7,86,4,25,3,33,8,75
"83",1475582,"CONSTANTINI Stefania","F","ITA","CZE",4,"746381","Round-Robin",11,91,9,89,2,100,3,67,8,100
"84",1022627,"MOSANER Amos","M","ITA","CZE",4,"746381","Round-Robin",18,86,14,82,4,100,4,81,14,88
"85",1929264,"GILL Tahli","F","AUS","NOR",6,"746357","Round-Robin",12,56,9,58,3,50,5,80,7,39
"86",1323453,"HEWITT Dean","M","AUS","NOR",6,"746357","Round-Robin",18,60,11,70,7,43,4,38,14,66
"87",841718,"NEDREGOTTEN Magnus","M","NOR","AUS",5,"746357","Round-Robin",18,88,12,90,6,83,10,90,8,84
"88",706818,"SKASLIEN Kristin","F","NOR","AUS",5,"746357","Round-Robin",12,90,11,89,1,100,3,67,9,97
"89",1149959,"PERRET Jenny","F","SUI","SWE",5,"746346","Round-Robin",13,52,8,63,5,35,7,61,6,42
"90",760837,"RIOS Martin","M","SUI","SWE",5,"746346","Round-Robin",21,73,14,77,7,64,12,73,9,72
"91",1245672,"DE VAL Almida","F","SWE","SUI",6,"746346","Round-Robin",14,88,13,87,1,100,5,100,9,81
"92",721971,"ERIKSSON Oskar","M","SWE","SUI",6,"746346","Round-Robin",21,89,18,90,3,83,10,100,11,80
"93",1221476,"PAUL Tomas","M","CZE","GBR",5,"746373","Round-Robin",21,68,17,81,4,13,10,68,11,68
"94",1967586,"PAULOVA Zuzana","F","CZE","GBR",5,"746373","Round-Robin",13,75,12,81,1,0,2,88,11,73
"95",1149957,"DODDS Jennifer","F","GBR","CZE",5,"746373","Round-Robin",14,59,11,57,3,67,6,33,8,78
"96",1366641,"MOUAT Bruce","M","GBR","CZE",5,"746373","Round-Robin",21,95,12,92,9,100,14,93,7,100
"97",1245672,"DE VAL Almida","F","SWE","CAN",7,"746380","Round-Robin",14,95,12,94,2,100,8,97,6,92
"98",721971,"ERIKSSON Oskar","M","SWE","CAN",7,"746380","Round-Robin",21,86,13,88,8,81,15,83,6,92
"99",842605,"HOMAN Rachel","F","CAN","SWE",5,"746380","Round-Robin",12,58,10,65,2,25,10,60,2,50
"100",338028,"MORRIS John","M","CAN","SWE",5,"746380","Round-Robin",21,87,15,90,6,79,11,82,10,93
"101",1929264,"GILL Tahli","F","AUS","ITA",7,"746364","Round-Robin",15,73,11,86,4,38,8,69,7,79
"102",1323453,"HEWITT Dean","M","AUS","ITA",7,"746364","Round-Robin",23,83,16,86,7,75,11,73,12,92
"103",1475582,"CONSTANTINI Stefania","F","ITA","AUS",5,"746364","Round-Robin",14,84,11,89,3,67,5,80,9,86
"104",1022627,"MOSANER Amos","M","ITA","AUS",5,"746364","Round-Robin",24,84,15,83,9,86,14,84,10,85
"105",2272511,"FAN Suyuan","F","CHN","USA",5,"746342","Round-Robin",15,63,10,65,5,60,8,63,7,64
"106",1245715,"LING Zhi","M","CHN","USA",5,"746342","Round-Robin",24,75,18,81,6,58,11,84,13,67
"107",1149977,"PERSINGER Vicky","F","USA","CHN",5,"746342","Round-Robin",16,77,15,82,1,0,13,85,3,42
"108",721966,"PLYS Chris","M","USA","CHN",5,"746342","Round-Robin",24,81,13,87,11,75,13,87,11,75
"109",1221476,"PAUL Tomas","M","CZE","SUI",6,"746341","Round-Robin",21,75,13,67,8,88,5,70,16,77
"110",1967586,"PAULOVA Zuzana","F","CZE","SUI",6,"746341","Round-Robin",14,63,13,67,1,0,3,17,11,75
"111",1149959,"PERRET Jenny","F","SUI","CZE",6,"746341","Round-Robin",14,93,11,95,3,83,6,92,8,94
"112",760837,"RIOS Martin","M","SUI","CZE",6,"746341","Round-Robin",21,90,12,92,9,89,11,91,10,90
"113",1149977,"PERSINGER Vicky","F","USA","CAN",6,"746366","Round-Robin",14,71,10,70,4,75,8,84,6,54
"114",721966,"PLYS Chris","M","USA","CAN",6,"746366","Round-Robin",21,76,12,71,9,83,8,69,13,81
"115",842605,"HOMAN Rachel","F","CAN","USA",6,"746366","Round-Robin",14,68,10,55,4,100,8,56,6,83
"116",338028,"MORRIS John","M","CAN","USA",6,"746366","Round-Robin",21,89,16,94,5,75,7,93,14,88
"117",841718,"NEDREGOTTEN Magnus","M","NOR","CHN",6,"746352","Round-Robin",24,85,15,88,9,81,5,85,19,86
"118",706818,"SKASLIEN Kristin","F","NOR","CHN",6,"746352","Round-Robin",14,79,11,80,3,75,6,88,8,72
"119",2272511,"FAN Suyuan","F","CHN","NOR",6,"746352","Round-Robin",14,68,10,80,4,38,4,63,10,70
"120",1245715,"LING Zhi","M","CHN","NOR",6,"746352","Round-Robin",24,59,20,58,4,69,8,47,16,66
"121",1149957,"DODDS Jennifer","F","GBR","ITA",6,"746355","Round-Robin",15,75,13,79,2,50,8,69,7,82
"122",1366641,"MOUAT Bruce","M","GBR","ITA",6,"746355","Round-Robin",24,91,20,90,4,94,15,92,9,89
"123",1475582,"CONSTANTINI Stefania","F","ITA","GBR",6,"746355","Round-Robin",16,80,13,75,3,100,7,68,9,89
"124",1022627,"MOSANER Amos","M","ITA","GBR",6,"746355","Round-Robin",24,70,17,72,7,64,7,54,17,76
"125",1149957,"DODDS Jennifer","F","GBR","CHN",7,"746347","Round-Robin",15,73,14,77,1,25,7,61,8,84
"126",1366641,"MOUAT Bruce","M","GBR","CHN",7,"746347","Round-Robin",24,80,17,81,7,79,11,84,13,77
"127",2272511,"FAN Suyuan","F","CHN","GBR",7,"746347","Round-Robin",15,63,13,69,2,25,11,68,4,50
"128",1245715,"LING Zhi","M","CHN","GBR",7,"746347","Round-Robin",24,73,17,71,7,79,12,88,12,58
"129",1149977,"PERSINGER Vicky","F","USA","CZE",7,"746343","Round-Robin",16,86,14,88,2,75,11,89,5,80
"130",721966,"PLYS Chris","M","USA","CZE",7,"746343","Round-Robin",24,79,16,75,8,88,13,79,11,80
"131",1221476,"PAUL Tomas","M","CZE","USA",7,"746343","Round-Robin",24,65,15,57,9,78,14,61,10,70
"132",1967586,"PAULOVA Zuzana","F","CZE","USA",7,"746343","Round-Robin",16,81,9,83,7,79,9,86,7,75
"133",1929264,"GILL Tahli","F","AUS","SUI",8,"746378","Round-Robin",16,77,12,81,4,63,8,75,8,78
"134",1323453,"HEWITT Dean","M","AUS","SUI",8,"746378","Round-Robin",24,76,15,82,9,67,12,75,12,77
"135",1149959,"PERRET Jenny","F","SUI","AUS",7,"746378","Round-Robin",17,68,12,77,5,45,9,67,8,69
"136",760837,"RIOS Martin","M","SUI","AUS",7,"746378","Round-Robin",23,75,16,80,7,64,12,71,11,80
"137",1475582,"CONSTANTINI Stefania","F","ITA","CHN",7,"746377","Round-Robin",15,85,12,85,3,83,6,88,9,83
"138",1022627,"MOSANER Amos","M","ITA","CHN",7,"746377","Round-Robin",24,76,18,86,6,46,7,79,17,75
"139",2272511,"FAN Suyuan","F","CHN","ITA",8,"746377","Round-Robin",16,55,12,71,4,6,12,50,4,69
"140",1245715,"LING Zhi","M","CHN","ITA",8,"746377","Round-Robin",24,67,18,71,6,54,12,56,12,77
"141",841718,"NEDREGOTTEN Magnus","M","NOR","SWE",7,"746368","Round-Robin",24,90,14,93,10,85,10,85,14,93
"142",706818,"SKASLIEN Kristin","F","NOR","SWE",7,"746368","Round-Robin",16,94,12,92,4,100,8,91,8,97
"143",1245672,"DE VAL Almida","F","SWE","NOR",8,"746368","Round-Robin",15,65,12,75,3,25,5,80,10,58
"144",721971,"ERIKSSON Oskar","M","SWE","NOR",8,"746368","Round-Robin",24,72,15,78,9,61,13,65,11,80
"145",842605,"HOMAN Rachel","F","CAN","CZE",7,"746335","Round-Robin",18,83,14,82,4,88,10,88,8,78
"146",338028,"MORRIS John","M","CAN","CZE",7,"746335","Round-Robin",27,81,16,83,11,80,9,78,18,83
"147",1221476,"PAUL Tomas","M","CZE","CAN",8,"746335","Round-Robin",27,70,20,65,7,86,14,73,13,67
"148",1967586,"PAULOVA Zuzana","F","CZE","CAN",8,"746335","Round-Robin",17,87,13,100,4,44,6,100,11,80
"149",841718,"NEDREGOTTEN Magnus","M","NOR","GBR",8,"746356","Round-Robin",24,91,11,89,13,92,13,92,11,89
"150",706818,"SKASLIEN Kristin","F","NOR","GBR",8,"746356","Round-Robin",15,87,14,88,1,75,7,82,8,91
"151",1149957,"DODDS Jennifer","F","GBR","NOR",8,"746356","Round-Robin",15,63,12,63,3,67,6,88,9,47
"152",1366641,"MOUAT Bruce","M","GBR","NOR",8,"746356","Round-Robin",23,80,18,79,5,85,13,73,10,90
"153",1149959,"PERRET Jenny","F","SUI","USA",8,"746338","Round-Robin",15,80,13,81,2,75,5,90,10,75
"154",760837,"RIOS Martin","M","SUI","USA",8,"746338","Round-Robin",24,85,17,85,7,86,8,88,16,84
"155",1149977,"PERSINGER Vicky","F","USA","SUI",8,"746338","Round-Robin",16,80,14,80,2,75,7,82,9,78
